sport,snapshot_date,name,display_conference,record_str,rpi,rpi_rank,projected_rpi,projected_rpi_rank,proj_record_str,sixty_four_rank,overall_seed,seed_tier,national_seed,is_auto_bid,bubble_status,conf_win_pct
softball,2026-04-03,Texas,SEC,32-2,0.71444,1,0.609529709844275,1,39-11,0.9511,1,1-seed,1.0,True,,0.9
softball,2026-04-03,Alabama,SEC,33-3,0.70463,4,0.6001132757748519,2,42-13,0.9479,2,1-seed,2.0,False,,0.7
softball,2026-04-03,Arkansas,SEC,30-5,0.70938,2,0.6017190871586535,3,37-15,0.987,3,1-seed,3.0,False,,0.5555555555555556
softball,2026-04-03,Florida,SEC,34-4,0.69417,6,0.6075473889554257,4,44-12,1.0,4,1-seed,4.0,False,,0.75
softball,2026-04-03,Tennessee,SEC,31-5,0.70035,5,0.6046023915969589,5,40-11,0.9674,5,1-seed,5.0,False,,0.6153846153846154
softball,2026-04-03,Oklahoma,SEC,36-3,0.67569,8,0.5978743161198214,6,43-12,0.9935,6,1-seed,6.0,False,,0.9
softball,2026-04-03,Texas Tech,Big 12,36-2,0.673,10,0.5875757304912196,7,43-12,0.9967,7,1-seed,7.0,True,,0.9230769230769231
softball,2026-04-03,UCLA,Big Ten,30-5,0.674,9,0.5931696099127997,8,40-12,0.9739,8,1-seed,8.0,False,,0.8333333333333334
softball,2026-04-03,Florida St.,ACC,32-4,0.67286,11,0.5724817820029598,9,41-14,0.9805,9,1-seed,9.0,True,,1.0
softball,2026-04-03,Washington,Big Ten,31-7,0.64114,17,0.5842016455155679,10,38-14,0.9642,10,1-seed,10.0,True,,1.0
softball,2026-04-03,Mississippi St.,SEC,32-7,0.65349,14,0.582970139955267,11,39-16,0.9055,11,1-seed,11.0,False,,0.4444444444444444
softball,2026-04-03,Arizona,Big 12,27-8,0.66916,12,0.5796185009173285,12,34-16,0.9283,12,1-seed,12.0,False,,0.75
softball,2026-04-03,Virginia Tech,ACC,31-5,0.64373,16,0.5615672510535515,13,40-15,0.9902,13,1-seed,13.0,False,,0.7
softball,2026-04-03,Oregon,Big Ten,26-9,0.65958,13,0.5706636738619022,14,34-19,0.9251,14,1-seed,14.0,False,,0.7777777777777778
softball,2026-04-03,Texas A&M,SEC,25-11,0.63007,23,0.5549413565466423,15,33-22,0.9837,15,1-seed,15.0,False,,0.7
softball,2026-04-03,LSU,SEC,24-12,0.6484,15,0.5673334091870703,16,33-20,0.8436,16,1-seed,16.0,False,,0.38461538461538464
softball,2026-04-03,Oklahoma St.,Big 12,25-10,0.63212,22,0.5558769226959838,17,32-21,0.8632,17,2-seed,,False,,0.5833333333333334
softball,2026-04-03,Ole Miss,SEC,25-15,0.64107,18,0.5653897160887005,18,31-24,0.8241,18,2-seed,,False,,0.16666666666666666
softball,2026-04-03,Virginia,ACC,31-4,0.62872,25,0.5495998875379806,19,38-15,0.9446,19,2-seed,,False,,0.75
softball,2026-04-03,UCF,Big 12,29-10,0.62955,24,0.559591375699426,20,35-19,0.9577,20,2-seed,,False,,0.5384615384615384
softball,2026-04-03,Clemson,ACC,25-13,0.63292,21,0.5700537409526056,20,33-19,0.9186,21,2-seed,,False,,0.5384615384615384
softball,2026-04-03,Duke,ACC,26-11,0.63778,19,0.5627847174260785,22,33-19,0.9153,22,2-seed,,False,,0.8461538461538461
softball,2026-04-03,Auburn,SEC,23-13,0.61457,30,0.569130137599456,23,32-21,0.9023,23,2-seed,,False,,0.2222222222222222
softball,2026-04-03,Arizona St.,Big 12,29-10,0.62358,26,0.5517310743977469,24,36-18,0.8958,24,2-seed,,False,,0.36363636363636365
softball,2026-04-03,Baylor,Big 12,22-13,0.6229,27,0.571483104843481,25,33-20,0.7427,25,2-seed,,False,,0.5
softball,2026-04-03,South Carolina,SEC,22-16,0.61598,29,0.5614160758478145,26,31-23,0.8795,26,2-seed,,False,,0.2
