sport,snapshot_date,name,display_conference,record_str,rpi,rpi_rank,projected_rpi,projected_rpi_rank,proj_record_str,sixty_four_rank,overall_seed,seed_tier,national_seed,is_auto_bid,bubble_status,conf_win_pct
softball,2026-04-05,Florida,SEC,34-4,0.69535,6,0.59671936497321,1,44-12,1.0,1,1-seed,1.0,False,,0.75
softball,2026-04-05,Oklahoma,SEC,36-3,0.67639,7,0.6116392376843421,2,45-10,0.9935,2,1-seed,2.0,False,,0.9
softball,2026-04-05,Nebraska,Big Ten,27-6,0.70755,2,0.592097556349936,3,37-13,0.9218,3,1-seed,3.0,False,,0.8888888888888888
softball,2026-04-05,Florida St.,ACC,32-4,0.67231,8,0.5734243288437859,4,43-12,0.9805,4,1-seed,4.0,True,,1.0
softball,2026-04-05,Georgia,SEC,27-9,0.67077,11,0.5754147913845653,5,36-17,0.9772,5,1-seed,5.0,False,,0.6
softball,2026-04-05,Washington,Big Ten,31-7,0.64201,18,0.5858377035238316,6,38-14,0.9642,6,1-seed,6.0,True,,1.0
softball,2026-04-05,Mississippi St.,SEC,32-7,0.65126,14,0.5773299672577117,7,39-16,0.9055,7,1-seed,7.0,False,,0.4444444444444444
softball,2026-04-05,Virginia Tech,ACC,31-5,0.63747,19,0.5723411715840414,8,41-14,0.9902,8,1-seed,8.0,False,,0.7
softball,2026-04-05,Oregon,Big Ten,26-9,0.65785,13,0.5713053179023294,9,35-18,0.9251,9,1-seed,9.0,False,,0.7777777777777778
softball,2026-04-05,Oklahoma St.,Big 12,25-10,0.63189,22,0.5724285899042152,10,34-19,0.8632,10,1-seed,10.0,False,,0.5833333333333334
softball,2026-04-05,LSU,SEC,24-12,0.64826,15,0.5604336434941155,11,33-20,0.8436,11,1-seed,11.0,False,,0.38461538461538464
softball,2026-04-05,Duke,ACC,26-11,0.6426,17,0.5761536283035739,12,34-18,0.9153,12,1-seed,12.0,False,,0.8461538461538461
softball,2026-04-05,Ole Miss,SEC,25-15,0.64296,16,0.5644331726762929,13,33-22,0.8241,13,1-seed,13.0,False,,0.16666666666666666
softball,2026-04-05,UCF,Big 12,29-10,0.63049,24,0.5636647065585331,14,38-16,0.9577,14,1-seed,14.0,False,,0.5384615384615384
softball,2026-04-05,Grand Canyon,Mountain West,37-2,0.6204,27,0.5771321870585892,15,46-9,0.9707,15,1-seed,15.0,True,,1.0
softball,2026-04-05,Virginia,ACC,31-4,0.62613,25,0.5497701725351801,16,38-15,0.9446,16,1-seed,16.0,False,,0.75
softball,2026-04-05,Clemson,ACC,25-13,0.63511,21,0.5611635711377077,17,32-20,0.9186,17,2-seed,,False,,0.5384615384615384
softball,2026-04-05,Auburn,SEC,23-13,0.61262,31,0.5602092433666893,18,31-22,0.9023,18,2-seed,,False,,0.2222222222222222
softball,2026-04-05,Stanford,ACC,20-11,0.63172,23,0.544340546658089,19,30-21,0.9121,19,2-seed,,False,,0.6
softball,2026-04-05,South Carolina,SEC,22-16,0.61405,28,0.5527190412062365,20,30-24,0.8795,20,2-seed,,False,,0.2
softball,2026-04-05,Marshall,Sun Belt,26-10,0.61401,29,0.5625116439504171,21,36-19,0.8925,21,2-seed,,True,,0.8
softball,2026-04-05,Baylor,Big 12,22-13,0.61389,30,0.5542353019515942,22,32-21,0.7427,22,2-seed,,False,,0.5
softball,2026-04-05,Michigan,Big Ten,22-13,0.59517,35,0.5578542913695271,23,32-21,0.8404,23,2-seed,,False,,0.2222222222222222
softball,2026-04-05,Louisville,ACC,30-8,0.60254,34,0.5388457425033827,24,40-16,0.9316,24,2-seed,,False,,0.6
softball,2026-04-05,Southeastern La.,Southland,32-9,0.58108,43,0.567334380700538,25,42-14,0.9381,25,2-seed,,True,,1.0
softball,2026-04-05,Omaha,Summit League,24-7,0.578,46,0.5520485864566477,26,33-13,0.899,26,2-seed,,True,,1.0
softball,2026-04-05,Kansas,Big 12,26-11,0.57734,48,0.5408046104453491,27,34-21,0.9609,27,2-seed,,False,,0.6363636363636364
softball,2026-04-05,North Carolina,ACC,26-9,0.58236,41,0.5361669186254325,28,34-18,0.8827,28,2-seed,,False,,0.46153846153846156
softball,2026-04-05,Belmont,MVC,26-9,0.582,42,0.548359150248186,29,37-15,0.8371,29,2-seed,,True,,0.8125
softball,2026-04-05,Indiana,Big Ten,27-7,0.56791,57,0.5368803651051082,30,38-17,0.9414,30,2-seed,,False,,0.7777777777777778
softball,2026-04-05,Georgia Tech,ACC,20-20,0.58577,37,0.5380790199152821,31,29-26,0.886,31,2-seed,,False,,0.3333333333333333
softball,2026-04-05,Jacksonville St.,CUSA,28-10,0.6038,33,0.5503810146353236,32,38-17,0.7622,32,2-seed,,True,,0.9230769230769231
softball,2026-04-05,Missouri,SEC,20-19,0.57973,44,0.5224862395509628,33,29-29,0.8762,33,3-seed,,False,,0.4
softball,2026-04-05,Western Ky.,CUSA,26-8,0.57376,50,0.524538956207609,34,37-14,0.9544,34,3-seed,,False,,0.7142857142857143
softball,2026-04-05,Wisconsin,Big Ten,19-11,0.57744,47,0.5473845122338931,35,31-19,0.798,35,3-seed,,False,,0.5555555555555556
softball,2026-04-05,Purdue,Big Ten,25-10,0.58481,38,0.5344279523172873,36,34-20,0.8046,36,3-seed,,False,,0.5555555555555556
softball,2026-04-05,South Fla.,American,28-11,0.59069,36,0.5408914024560767,37,37-18,0.8208,37,3-seed,,False,last_in,0.7692307692307693
